scenario,step,command,shell,notes
current-pass,1,"git fetch --all --prune",bash,"Refresh refs before reproducing."
current-pass,2,"git checkout master",bash,"Use the current fixed branch."
current-pass,3,"./gradlew :web:webBuildJs",bash,"Build the web bundle used by the local static server."
current-pass,4,"npm config set fund false",bash,"Matches CI web test env setup."
current-pass,5,"npm config set audit false",bash,"Matches CI web test env setup."
current-pass,6,"npm install -D playwright ws",bash,"Matches CI action when install-ws=true."
current-pass,7,"npx playwright install --with-deps chromium",bash,"Install the same browser family used by the failing CI gate."
current-pass,8,"python3 scripts/web/static-server.py --port 18080 --dir web/build/dist > /tmp/web-server.log 2>&1 &",bash,"Start the static asset server."
current-pass,9,"node scripts/web/multiplayer-test-server.js > /tmp/mp-server.log 2>&1 &",bash,"Start the multiplayer test server."
current-pass,10,"xvfb-run -a env HEADLESS=false WEB_BASE_URL=http://127.0.0.1:18080 WEB_MP_SERVER=http://127.0.0.1:19090 WEB_PROFILE=phase4-full WEB_CLICKS_MULTIPLAYER_TIMEOUT_MS=240000 node scripts/web/run-web-clickops-multiplayer.js",bash,"This is the exact required CI gate command. Expected after fix: status PASSED and requestFailures empty."
current-pass,11,"xvfb-run -a env HEADLESS=false WEB_BROWSER=chromium WEB_PROFILE=phase4-full WEB_BASE_URL=http://127.0.0.1:18080 WEB_VALIDATION_TIMEOUT_MS=600000 WEB_VALIDATION_STARTUP_TIMEOUT_MS=45000 WEB_VALIDATION_STARTUP_ATTEMPTS=2 WEB_MP_SERVER=http://127.0.0.1:19090 WEB_MOD_ZIP_URL=http://127.0.0.1:18080/webtest/mods/test-mod.zip node scripts/web/run-web-validation.js",bash,"Broader regression check for shared webtest behavior."
current-pass,12,"xvfb-run -a env HEADLESS=false WEB_BASE_URL=http://127.0.0.1:18080 WEB_MP_SERVER=http://127.0.0.1:19090 WEB_PROFILE=phase4-full WEB_UI_MULTIPLAYER_TIMEOUT_MS=60000 WEB_UI_STARTUP_TIMEOUT_MS=30000 WEB_UI_STARTUP_ATTEMPTS=3 node scripts/web/run-web-ui-multiplayer.js",bash,"Optional adjacent multiplayer probe."
historic-bad-commit,1,"git fetch --all --prune",bash,"Refresh refs before checking the older commit."
historic-bad-commit,2,"git checkout ef4a272c7",bash,"This is the first commit where the CI failure was observed on March 25, 2026."
historic-bad-commit,3,"./gradlew :web:webBuildJs",bash,"Build the older web bundle."
historic-bad-commit,4,"npm config set fund false",bash,"Matches CI setup."
historic-bad-commit,5,"npm config set audit false",bash,"Matches CI setup."
historic-bad-commit,6,"npm install -D playwright ws",bash,"Matches CI setup."
historic-bad-commit,7,"npx playwright install --with-deps chromium",bash,"Matches CI setup."
historic-bad-commit,8,"python3 scripts/web/static-server.py --port 18080 --dir web/build/dist > /tmp/web-server.log 2>&1 &",bash,"Start the static asset server."
historic-bad-commit,9,"node scripts/web/multiplayer-test-server.js > /tmp/mp-server.log 2>&1 &",bash,"Start the multiplayer test server."
historic-bad-commit,10,"xvfb-run -a env HEADLESS=false WEB_BASE_URL=http://127.0.0.1:18080 WEB_MP_SERVER=http://127.0.0.1:19090 WEB_PROFILE=phase4-full WEB_CLICKS_MULTIPLAYER_TIMEOUT_MS=240000 node scripts/web/run-web-clickops-multiplayer.js",bash,"Historic failing gate command. In GitHub Actions run #60 this ended with exit code 2 and host-side blob ERR_ABORTED request failures."
artifact-inspection,1,"mkdir -p tmp/ci-artifacts/web-clickops-multiplayer",bash,"Create a local inspection folder."
artifact-inspection,2,"unzip -o web-clickops-multiplayer.zip -d tmp/ci-artifacts/web-clickops-multiplayer",bash,"Extract the uploaded artifact bundle from the failing GitHub job."
artifact-inspection,3,"cat tmp/ci-artifacts/web-clickops-multiplayer/home/runner/work/unciv-web/unciv-web/tmp/web-clickops-multiplayer-result.json",bash,"Inspect the exact captured job result JSON."
artifact-inspection,4,"grep -n \"ERR_ABORTED\\|blob:\" tmp/ci-artifacts/web-clickops-multiplayer/home/runner/work/unciv-web/unciv-web/tmp/web-clickops-multiplayer-result.json",bash,"Quickly verify the failure shape from the artifact."
